x	y	cat1	cat2
7.27	31.5	Baby Foods	1
-11.3	52.1	Baby Foods	1
-31.7	46.7	Baby Foods	1
12.8	26.0	Baby Foods	1
28.6	43.8	Baby Foods	1
30.2	33.6	Baby Foods	1
32.0	36.3	Baby Foods	1
7.72	33.4	Baby Foods	1
-9.14	52.1	Baby Foods	1
31.4	34.0	Baby Foods	1
7.02	32.1	Baby Foods	1
-10.5	51.2	Baby Foods	1
30.7	35.0	Baby Foods	1
-9.96	51.8	Baby Foods	1
29.2	34.3	Baby Foods	1
-11.3	53.5	Baby Foods	1
30.5	34.6	Baby Foods	1
7.6	32.4	Baby Foods	1
-10.4	51.7	Baby Foods	1
31.0	35.4	Baby Foods	1
-9.74	52.1	Baby Foods	1
7.96	32.9	Baby Foods	1
7.28	31.3	Baby Foods	1
30.4	33.5	Baby Foods	1
-11.7	51.8	Baby Foods	1
29.5	33.2	Baby Foods	1
12.1	22.1	Baby Foods	1
-11.5	51.4	Baby Foods	1
54.5	15.1	Baby Foods	1
31.5	36.2	Baby Foods	1
31.5	36.2	Baby Foods	1
31.7	34.9	Baby Foods	1
-25.3	45.8	Baby Foods	1
12.7	21.6	Baby Foods	1
7.25	31.6	Baby Foods	1
-12.3	51.7	Baby Foods	1
12.7	26.3	Baby Foods	1
-10.0	51.9	Baby Foods	1
12.8	26.3	Baby Foods	1
12.9	26.3	Baby Foods	1
31.2	34.2	Baby Foods	1
19.8	46.9	Baby Foods	1
19.8	46.8	Baby Foods	1
31.1	35.5	Baby Foods	1
13.1	26.8	Baby Foods	1
31.8	35.8	Baby Foods	1
13.0	26.8	Baby Foods	1
31.7	35.8	Baby Foods	1
12.8	26.2	Baby Foods	1
30.2	33.6	Baby Foods	1
30.7	34.8	Baby Foods	1
49.8	0.429	Baby Foods	1
50.1	1.06	Baby Foods	1
-27.7	43.6	Baby Foods	1
-45.7	-3.0	Baby Foods	1
-42.9	41.2	Baby Foods	1
-10.3	51.7	Baby Foods	1
-96.9	9.53	Fats and Oils	9
-97.0	9.17	Fats and Oils	9
-44.9	-14.2	Fats and Oils	9
50.0	7.14	Fats and Oils	9
59.4	-0.177	Fats and Oils	9
-47.1	-13.9	Fats and Oils	9
-58.1	-8.69	Fats and Oils	9
-46.7	-13.2	Fats and Oils	9
7.86	-3.42	Fats and Oils	9
8.67	-4.52	Fats and Oils	9
55.6	-3.47	Fats and Oils	9
21.4	-0.555	Fats and Oils	9
12.5	-2.71	Fats and Oils	9
-74.1	0.493	Fats and Oils	9
-75.1	0.42	Fats and Oils	9
8.96	-2.95	Fats and Oils	9
33.2	10.6	Fats and Oils	9
-59.4	-8.96	Fats and Oils	9
-47.0	-13.0	Fats and Oils	9
-94.7	9.49	Fats and Oils	9
-93.2	9.67	Fats and Oils	9
-94.8	12.2	Fats and Oils	9
-96.0	13.0	Fats and Oils	9
-93.1	10.8	Fats and Oils	9
-94.0	9.87	Fats and Oils	9
-91.8	8.65	Fats and Oils	9
-93.4	10.6	Fats and Oils	9
-93.7	10.8	Fats and Oils	9
-94.7	8.55	Fats and Oils	9
-94.9	13.0	Fats and Oils	9
3.33	56.4	Fats and Oils	9
8.3	-3.4	Fats and Oils	9
-58.6	-8.84	Fats and Oils	9
6.25	58.9	Fats and Oils	9
-73.4	-0.323	Fats and Oils	9
-58.3	-9.26	Fats and Oils	9
-58.6	-8.83	Fats and Oils	9
8.07	-4.59	Fats and Oils	9
6.04	-2.04	Fats and Oils	9
58.9	-2.33	Fats and Oils	9
-75.0	0.429	Fats and Oils	9
-73.2	-0.234	Fats and Oils	9
18.9	1.66	Fats and Oils	9
-94.1	8.37	Fats and Oils	9
-93.6	12.7	Fats and Oils	9
-94.1	13.2	Fats and Oils	9
-94.4	12.5	Fats and Oils	9
-94.4	12.5	Fats and Oils	9
-91.7	8.97	Fats and Oils	9
-94.8	10.4	Fats and Oils	9
-94.3	8.78	Fats and Oils	9
-94.6	7.72	Fats and Oils	9
-93.8	12.2	Fats and Oils	9
-96.1	10.6	Fats and Oils	9
-96.8	9.57	Fats and Oils	9
-94.9	8.46	Fats and Oils	9
-95.1	12.6	Fats and Oils	9
-93.9	8.88	Fats and Oils	9
-76.1	1.38	Fats and Oils	9
-94.8	13.4	Fats and Oils	9
-93.4	11.4	Fats and Oils	9
-94.6	7.72	Fats and Oils	9
-57.0	-6.67	Fats and Oils	9
-93.6	7.96	Fats and Oils	9
-96.2	9.3	Fats and Oils	9
-94.1	10.4	Fats and Oils	9
-96.1	8.8	Fats and Oils	9
-94.1	13.2	Fats and Oils	9
-94.7	9.49	Fats and Oils	9
-94.7	9.49	Fats and Oils	9
-96.1	8.8	Fats and Oils	9
-96.2	9.67	Fats and Oils	9
-93.9	8.34	Fats and Oils	9
-94.7	9.49	Fats and Oils	9
-94.5	11.3	Fats and Oils	9
-94.6	7.72	Fats and Oils	9
-94.7	9.49	Fats and Oils	9
-94.5	11.3	Fats and Oils	9
-94.9	8.41	Fats and Oils	9
-93.6	7.96	Fats and Oils	9
-93.1	8.56	Fats and Oils	9
-96.2	9.45	Fats and Oils	9
-96.2	9.3	Fats and Oils	9
-94.6	7.72	Fats and Oils	9
-93.9	11.1	Fats and Oils	9
-94.6	7.72	Fats and Oils	9
-94.1	13.2	Fats and Oils	9
3.02	56.0	Fats and Oils	9
-94.7	9.49	Fats and Oils	9
-94.7	9.49	Fats and Oils	9
-94.4	10.7	Fats and Oils	9
7.72	67.6	Fats and Oils	9
-96.7	8.45	Fats and Oils	9
-96.7	8.45	Fats and Oils	9
-96.7	8.45	Fats and Oils	9
-96.7	8.45	Fats and Oils	9
-96.7	8.45	Fats and Oils	9
-94.6	7.72	Fats and Oils	9
5.81	55.8	Fats and Oils	9
-4.15	44.1	Fats and Oils	9
-4.12	44.1	Fats and Oils	9
-95.3	8.55	Fats and Oils	9
-95.8	8.38	Fats and Oils	9
3.3	56.1	Fats and Oils	9
3.46	55.6	Fats and Oils	9
