x	y
-1.37	-27.2
24.9	-44.8
-8.98	-41.1
0.81	-42.8
7.92	-33.5
-30.8	-16.3
-41.4	-3.33
-54.1	-3.83
-53.9	-4.75
-27.9	-18.1
4.48	62.9
4.4	64
5.21	61.1
27	-42.7
9.26	-41.1
8.15	-43.3
8.02	-43.3
4.32	63.7
4.27	64.4
5.27	-31.9
-19.4	-27
-17.3	-43
-13.2	-35.7
0.91	-28.8
-2.42	-26.6
-20.3	-25.5
-20	-27.8
-15	-33.1
-2.29	-26.6
24.3	-47.1
-5.82	-54.2
3.39	-50.3
10.9	-35.8
25.5	-44
-13.4	-34.3
-3.53	-36.9
2.36	-29.4
-74.5	-0.481
-20.8	-19.9
-22.3	-20.6
-25	-23.1
-13.7	-19
-13.7	-19
15.7	-36.3
-20.2	-27.8
-10.1	-29
0.485	-27.8
8.73	-37.1
-17.3	-32.4
-12.8	-49.8
-5.32	-49.1
5.09	-31.6
21.7	-55.2
-4.89	-59.6
3.29	-55
11.7	-36.9
10.5	-36.4
-18.9	-26.4
-13.9	-33.1
0.619	-42.4
0.855	-28.6
24.7	-45.1
0.104	-39.6
11.6	-48.1
9.16	-34.2
-0.972	-28.5
-19.1	-26.4
-15.9	-32.8
1.89	-44.3
-1.22	-27.3
24.5	-46
-4.66	-39.7
3.97	-47.8
4.44	-30.9
-20.5	-19.7
-21.8	-20.2
-21.9	-20.5
-2.9	-26.1
11.8	-29.9
-2.18	-26.1
5.55	-24.5
-1.58	-28.5
-19.3	-26.5
-16.7	-32.7
-16.1	-44.4
-2.08	-26.8
24.3	-46.6
-9.52	-41.5
-1.68	-56.3
2.04	-29.6
3.37	-28.3
-22.1	-20.2
-24.4	-22.7
-11.5	-24.1
-3.19	-26.1
25.8	-43.4
-3.68	-32.9
-1.02	-32.1
4.15	-29.7
0.394	40.9
0.356	39.6
18.2	-67.5
-7.04	-34
24.5	-49
7.08	-44.4
4.46	63.2
4.56	62.6
22.5	-61
7.39	-53
24.5	-45.3
6.58	-36.6
-0.314	42.2
0.99	39.6
-15.2	-33
-19.8	-28.1
10.3	-53.1
-13.5	-35.4
4.41	63.5
4.42	63.1
15.3	-60.8
-11.3	-49.7
10.1	-43.6
-15.6	-33.2
0.146	41.3
1.2	41.1
-14	-33.9
-16.1	-51.1
4.38	64.8
3.34	65.4
-31.7	-18.2
-24.8	-22.5
17.3	-48.3
-3.31	-42.5
6.14	67.3
